"","av_lambda","sum_lambda","Taxonomic_group","threat_intensity_log","threat_richness","hmn_pp_v_log","n_habitats","Protected_status","Utilised","Managed","Binomial","loc_id","Body_size_log","length"
"127",0.16360588,1.30884704,"Mammals",-1.70829419768913,0,0,3,"No",0,0,"Lasionycteris_noctivagans","-111.158064_55.877186",1.01953168453126,8
"128",0.735642357,5.88513886,"Mammals",-1.70829419768913,0,0,2,"No",0,0,"Lasiurus_cinereus","-111.158064_55.877186",1.40277706961035,8
"129",1,8,"Mammals",-1.70829419768913,0,0,1,"No",0,0,"Lasiurus_borealis","-111.158064_55.877186",1.03100428136354,8
"130",0.055814384,0.613958219,"Mammals",-0.168848227180982,3,0.0132206598681204,2,"Yes",0,0,"Castor_canadensis","-78.416667_45.583333",4.33885474625232,11
"131",-0.557972017,-6.137692183,"Mammals",0.0268888893441092,1,0,3,"No",0,1,"Lepus_arcticus","-57.736944_49.689167",3.64394985638039,11
"132",0.072607715,1.234331156,"Mammals",-3.6868261322941,2,0,2,"Yes",0,0,"Eschrichtius_robustus","-126.19034_49.24809",7.45484486000851,17
"133",-0.714285714,-5,"Mammals",-2.07860766138525,0,0,1,"Yes",0,0,"Dicrostonyx_groenlandicus","-78.564722_73.218056",1.73559889969818,7
"134",0.051837184,0.777557756,"Mammals",-0.59206361426226,2,0.0417131504917073,6,"No",0,0,"Microtus_pennsylvanicus","-109.28787_50.54573",1.56525734342021,15
"135",0.058248096,0.873721441,"Mammals",-0.59206361426226,2,0.0417131504917073,7,"No",0,0,"Peromyscus_maniculatus","-109.28787_50.54573",1.32797162362301,15
"136",0.157362916,1.101540414,"Mammals",-2.07860766138525,0,0,1,"Yes",0,0,"Lemmus_trimucronatus","-78.564722_73.218056",1.84397984447816,7
"137",0.140773515,0.985414602,"Mammals",-0.771930153771803,2,0.0612464079625644,2,"No",0,1,"Dipodomys_ordii","-110.646944_50.976111",1.78103693862113,7
"138",0.395501271,1.582005085,"Mammals",-3.32709305327502,0,0,1,"Yes",2,2,"Vulpes_lagopus","-124.533333_72.416667",3.55441283376475,4
"139",0.095647162,0.478235812,"Mammals",-2.68168958797607,1,0,1,"Yes",2,2,"Vulpes_lagopus","-100.25_67.233333",3.55441283376475,5
"140",-0.107823332,-4.097286601,"Mammals",1.37059774332717,9,1.47730312251091,4,"No",0,0,"Pipistrellus_subflavus","-65.381111_45.66",0.718501688867274,38
"141",0.039465189,1.578607562,"Mammals",-0.142397265488402,2,1.04169842728769,2,"No",0,0,"Castor_canadensis","-64.351142_48.893948",4.33885474625232,40
"142",0.053858678,1.508042992,"Mammals",-0.142397265488402,2,1.04169842728769,3,"Yes",1,0,"Alces_americanus","-64.351142_48.893948",5.73356673184349,28
"143",0.036074314,1.370823937,"Mammals",-2.4595015097584,1,0,8,"Yes",2,1,"Bison_bison","-116.133333_61.633333",5.62935237244692,38
"144",0.030906353,1.019909641,"Mammals",-0.0736247650876943,2,0.0246990331471741,2,"Yes",0,0,"Castor_canadensis","-72.957967_46.778085",4.33885474625232,33
"145",0.026052523,0.651313075,"Mammals",-1.67655304365803,2,1.20912678931545,2,"No",0,0,"Myodes_gapperi","-111.9_60.016667",1.2973227142053,25
"146",-0.218011474,-4.796252429,"Mammals",-2.88271689683968,0,0,3,"No",0,0,"Zapus_hudsonius","-123.483333_60.65",1.23350376034113,22
"147",-0.437568456,-9.626506024,"Mammals",-2.88271689683968,0,0,4,"No",0,0,"Synaptomys_borealis","-123.483333_60.65",1.32837960343874,22
"148",-0.56562247,-12.44369434,"Mammals",-2.88271689683968,0,0,2,"No",0,0,"Microtus_xanthognathus","-123.483333_60.65",2.09950799372796,22
"149",0.21857358,3.497177283,"Mammals",-2.53885439483614,1,0,5,"No",0,0,"Microtus_oeconomus","-106.43_68.06",1.53630587235103,16
"150",-0.58655619,-5.279005713,"Mammals",-1.77706669808984,2,1.67490648927315,1,"No",0,0,"Dicrostonyx_groenlandicus","-94.083333_61.1",1.73559889969818,9
